Step,x-coordinate,y-coordinate,Actions
1,0,0,F
2,0,1,F
3,0,2,RF
4,1,2,F
5,2,2,RF
6,2,1,LF
7,3,1,LF
8,3,2,RF
9,4,2,F
10,5,2,F
11,6,2,RF
12,6,1,LF
13,7,1,LF
14,7,2,RF
15,8,2,RF
16,8,1,F
17,8,0,LF
18,9,0,LF
19,9,1,F
20,9,2,F
21,9,3,F
22,9,4,F
23,9,5,F
24,9,6,F
25,9,7,LF
26,8,7,LF
27,8,6,F
28,8,5,RF
29,7,5,RF
30,7,6,F
31,7,7,F
32,7,8,LF
33,6,8,RF
34,6,9,RF
35,7,9,LF
36,7,10,F
37,7,11,F
38,7,12,LF
39,6,12,LF
40,6,11,RF
41,5,11,RF
42,5,12,LF
43,4,12,RF
44,4,13,LF
45,3,13,LF
46,3,12,RF
47,2,12,RF
48,2,13,F
49,2,14,LF
50,1,14,F
51,0,14,RF
52,0,15,RF
53,1,15,LF
54,1,16,RF
55,2,16,LF
56,2,17,RF
57,3,17,RF
58,3,16,F
59,3,15,LF
60,4,15,LF
61,4,16,F
62,4,17,RF
63,5,17,F
64,6,17,RF
65,6,16,RF
66,5,16,LF
67,5,15,F
68,5,14,LF
69,6,14,F
70,7,14,LF
71,7,15,F
72,7,16,RF
73,8,16,F
74,9,16,LF
75,9,17,F
76,9,18,LF
77,8,18,F
78,7,18,F
79,6,18,RF
80,6,19,F
81,6,20,LF
82,5,20,F
83,4,20,F
84,3,20,F
85,2,20,F
86,1,20,F
87,0,20,RF
88,0,21,F
89,0,22,RF
90,1,22,F
91,2,22,LF
92,2,23,LF
93,1,23,F
94,0,23,RF
95,0,24,F
96,0,25,F
97,0,26,F
98,0,27,F
99,0,28,RF
100,1,28,LF
101,1,29,LF
102,0,29,RF
103,0,30,F
104,0,31,F
105,0,32,RF
106,1,32,LF
107,1,33,LF
108,0,33,RF
109,0,34,RF
110,1,34,F
111,2,34,LF
112,2,35,F
113,2,36,RF
114,3,36,RF
115,3,35,F
116,3,34,LF
117,4,34,LF
118,4,35,RF
119,5,35,RF
120,5,34,LF
121,6,34,F
122,7,34,F
123,8,34,RF
124,8,33,LF
125,9,33,F
126,10,33,F
127,11,33,RF
128,11,32,LF
129,12,32,RF
130,12,31,F
131,12,30,RF
132,11,30,RF
133,11,31,LF
134,10,31,RF
135,10,32,LF
136,9,32,LF
137,9,31,RF
138,8,31,RF
139,8,32,LF
140,7,32,F
141,6,32,LF
142,6,31,RF
143,5,31,RF
144,5,32,F
145,5,33,LF
146,4,33,LF
147,4,32,F
148,4,31,F
149,4,30,RF
150,3,30,F
151,2,30,LF
152,2,29,F
153,2,28,F
154,2,27,RF
155,1,27,LF
156,1,26,LF
157,2,26,RF
158,2,25,RF
159,1,25,LF
160,1,24,LF
161,2,24,F
162,3,24,RF
163,3,23,LF
164,4,23,RF
165,4,22,RF
166,3,22,LF
167,3,21,LF
168,4,21,F
169,5,21,LF
170,5,22,RF
171,6,22,LF
172,6,23,RF
173,7,23,LF
174,7,24,LF
175,6,24,RF
176,6,25,F
177,6,26,F
178,6,27,RF
179,7,27,F
180,8,27,RF
181,8,26,LF
182,9,26,RF
183,9,25,LF
184,10,25,RF
185,10,24,LF
186,11,24,LF
187,11,25,RF
188,12,25,LF
189,12,26,F
190,12,27,LF
191,11,27,RF
192,11,28,F
193,11,29,RF
194,12,29,F
195,13,29,F
196,14,29,LF
197,14,30,F
198,14,31,LF
199,13,31,RF
200,13,32,RF
201,14,32,F
202,15,32,RF
203,15,31,F
204,15,30,F
205,15,29,LF
206,16,29,LF
207,16,30,F
208,16,31,RF
209,17,31,RF
210,17,30,LF
211,18,30,LF
212,18,31,F
213,18,32,LF
214,17,32,RF
215,17,33,F
216,17,34,F
217,17,35,F
218,17,36,RF
219,18,36,F
220,19,36,F
221,20,36,F
222,21,36,F
223,22,36,RF
224,22,35,F
225,22,34,RF
226,21,34,F
227,20,34,F
228,19,34,F
229,18,34,LF
230,18,33,LF
231,19,33,RF
232,19,32,LF
233,20,32,LF
234,20,33,RF
235,21,33,F
236,22,33,F
237,23,33,LF
238,23,34,F
239,23,35,F
240,23,36,RF
241,24,36,F
242,25,36,F
243,26,36,RF
244,26,35,LF
245,27,35,F
246,28,35,F
247,29,35,F
248,30,35,F
249,31,35,LF
250,31,36,LF
251,30,36,F
252,29,36,F
253,28,36,RF
254,28,37,LF
255,27,37,RF
256,27,38,RF
257,28,38,F
258,29,38,RF
259,29,37,LF
260,30,37,LF
261,30,38,RF
262,31,38,LF
263,31,39,LF
264,30,39,RF
265,30,40,F
266,30,41,RF
267,31,41,F
268,32,41,F
269,33,41,F
270,34,41,RF
271,34,40,F
272,34,39,F
273,34,38,F
274,34,37,F
275,34,36,LF
276,35,36,F
277,36,36,F
278,37,36,LF
279,37,37,LF
280,36,37,RF
281,36,38,RF
282,37,38,LF
283,37,39,RF
284,38,39,LF
285,38,40,F
286,38,41,LF
287,37,41,RF
288,37,42,F
289,37,43,LF
290,36,43,F
291,35,43,RF
292,35,44,F
293,35,45,LF
294,34,45,F
295,33,45,RF
296,33,46,F
297,33,47,RF
298,34,47,LF
299,34,48,LF
300,33,48,F
301,32,48,RF
302,32,49,RF
303,33,49,F
304,34,49,LF
305,34,50,F
306,34,51,LF
307,33,51,F
308,32,51,RF
309,32,52,RF
310,33,52,LF
311,33,53,F
312,33,54,RF
313,34,54,RF
314,34,53,LF
315,35,53,LF
316,35,54,RF
317,36,54,RF
318,36,53,F
319,36,52,F
320,36,51,F
321,36,50,RF
322,35,50,LF
323,35,49,LF
324,36,49,F
325,37,49,RF
326,37,48,F
327,37,47,LF
328,38,47,F
329,39,47,LF
330,39,48,LF
331,38,48,RF
332,38,49,RF
333,39,49,LF
334,39,50,LF
335,38,50,RF
336,38,51,F
337,38,52,LF
338,37,52,RF
339,37,53,RF
340,38,53,F
341,39,53,LF
342,39,54,F
343,39,55,F
344,39,56,LF
345,38,56,LF
346,38,55,F
347,38,54,RF
348,37,54,RF
349,37,55,F
350,37,56,LF
351,36,56,LF
352,36,55,RF
353,35,55,F
354,34,55,RF
355,34,56,RF
356,35,56,LF
357,35,57,F
358,35,58,F
359,35,59,RF
360,36,59,LF
361,36,60,F
362,36,61,LF
363,35,61,F
364,34,61,LF
365,34,60,F
366,34,59,RF
367,33,59,F
368,32,59,F
369,31,59,LF
370,31,58,LF
371,32,58,F
372,33,58,F
373,34,58,RF
374,34,57,RF
375,33,57,LF
376,33,56,RF
377,32,56,RF
378,32,57,LF
379,31,57,LF
380,31,56,F
381,31,55,RF
382,30,55,RF
383,30,56,LF
384,29,56,RF
385,29,57,LF
386,28,57,F
387,27,57,RF
388,27,58,F
389,27,59,F
390,27,60,F
391,27,61,F
392,27,62,LF
393,26,62,F
394,25,62,RF
395,25,63,RF
396,26,63,F
397,27,63,F
398,28,63,RF
399,28,62,F
400,28,61,F
401,28,60,LF
402,29,60,LF
403,29,61,RF
404,30,61,LF
405,30,62,F
406,30,63,LF
407,29,63,RF
408,29,64,LF
409,28,64,F
410,27,64,RF
411,27,65,F
412,27,66,RF
413,28,66,LF
414,28,67,LF
415,27,67,F
416,26,67,F
417,25,67,RF
418,25,68,LF
419,24,68,RF
420,24,69,F
421,24,70,RF
422,25,70,RF
423,25,69,LF
424,26,69,LF
425,26,70,RF
426,27,70,F
427,28,70,F
428,29,70,LF
429,29,71,RF
430,30,71,F
431,31,71,LF
432,31,72,RF
433,32,72,F
434,33,72,F
435,34,72,F
436,35,72,LF
437,35,73,RF
438,36,73,RF
439,36,72,F
440,36,71,F
441,36,70,LF
442,37,70,F
443,38,70,RF
444,38,69,F
445,38,68,RF
446,37,68,F
447,36,68,LF
448,36,67,LF
449,37,67,F
450,38,67,RF
451,38,66,RF
452,37,66,F
453,36,66,LF
454,36,65,F
455,36,64,RF
456,35,64,RF
457,35,65,LF
458,34,65,F
459,33,65,F
460,32,65,RF
461,32,66,F
462,32,67,LF
463,31,67,RF
464,31,68,LF
465,30,68,LF
466,30,67,F
467,30,66,RF
468,29,66,LF
469,29,65,LF
470,30,65,RF
471,30,64,LF
472,31,64,F
473,32,64,F
474,33,64,F
475,34,64,RF
476,34,63,LF
477,35,63,RF
478,35,62,LF
479,36,62,F
480,37,62,RF
481,37,61,LF
482,38,61,RF
483,38,60,F
484,38,59,LF
485,39,59,F
486,40,59,RF
487,40,58,F
488,40,57,LF
489,41,57,F
490,42,57,RF
491,42,56,LF
492,43,56,F
493,44,56,LF
494,44,57,F
495,44,58,RF
496,45,58,F
497,46,58,LF
498,46,59,F
499,46,60,LF
500,45,60,LF
501,45,59,RF
502,44,59,RF
503,44,60,F
504,44,61,RF
505,45,61,F
506,46,61,LF
507,46,62,F
508,46,63,LF
509,45,63,F
510,44,63,LF
511,44,62,RF
512,43,62,LF
513,43,61,RF
514,42,61,LF
515,42,60,F
516,42,59,RF
517,41,59,RF
518,41,60,F
519,41,61,F
520,41,62,F
521,41,63,F
522,41,64,RF
523,42,64,RF
524,42,63,LF
525,43,63,LF
526,43,64,RF
527,44,64,LF
528,44,65,LF
529,43,65,RF
530,43,66,F
531,43,67,F
532,43,68,LF
533,42,68,F
534,41,68,RF
535,41,69,LF
536,40,69,F
537,39,69,RF
538,39,70,RF
539,40,70,F
540,41,70,LF
541,41,71,LF
542,40,71,F
543,39,71,RF
544,39,72,LF
545,38,72,F
546,37,72,RF
547,37,73,F
548,37,74,RF
549,38,74,F
550,39,74,LF
551,39,75,RF
552,40,75,F
553,41,75,LF
554,41,76,F
555,41,77,LF
556,40,77,RF
557,40,78,LF
558,39,78,LF
559,39,77,F
560,39,76,RF
561,38,76,LF
562,38,75,RF
563,37,75,RF
564,37,76,F
565,37,77,RF
566,38,77,LF
567,38,78,LF
568,37,78,RF
569,37,79,F
570,37,80,F
571,37,81,LF
572,36,81,LF
573,36,80,RF
574,35,80,RF
575,35,81,F
576,35,82,LF
577,34,82,F
578,33,82,F
579,32,82,RF
580,32,83,LF
581,31,83,RF
582,31,84,F
583,31,85,F
584,31,86,LF
585,30,86,RF
586,30,87,RF
587,31,87,F
588,32,87,RF
589,32,86,F
590,32,85,F
591,32,84,LF
592,33,84,LF
593,33,85,RF
594,34,85,LF
595,34,86,LF
596,33,86,RF
597,33,87,RF
598,34,87,F
599,35,87,F
600,36,87,F
601,37,87,RF
602,37,86,RF
603,36,86,F
604,35,86,LF
605,35,85,LF
606,36,85,RF
607,36,84,RF
608,35,84,LF
609,35,83,LF
610,36,83,F
611,37,83,LF
612,37,84,RF
613,38,84,LF
614,38,85,F
615,38,86,RF
616,39,86,RF
617,39,85,F
618,39,84,LF
619,40,84,RF
620,40,83,RF
621,39,83,LF
622,39,82,RF
623,38,82,LF
624,38,81,F
625,38,80,LF
626,39,80,F
627,40,80,LF
628,40,81,RF
629,41,81,F
630,42,81,F
631,43,81,LF
632,43,82,RF
633,44,82,F
634,45,82,RF
635,45,81,RF
636,44,81,LF
637,44,80,F
638,44,79,LF
639,45,79,LF
640,45,80,RF
641,46,80,RF
642,46,79,LF
643,47,79,F
644,48,79,RF
645,48,78,F
646,48,77,LF
647,49,77,LF
648,49,78,F
649,49,79,F
650,49,80,LF
651,48,80,F
652,47,80,RF
653,47,81,RF
654,48,81,F
655,49,81,LF
656,49,82,RF
657,50,82,F
658,51,82,LF
659,51,83,RF
660,52,83,RF
661,52,82,F
662,52,81,F
663,52,80,LF
664,53,80,RF
665,53,79,F
666,53,78,F
667,53,77,RF
668,52,77,RF
669,52,78,F
670,52,79,LF
671,51,79,RF
672,51,80,F
673,51,81,LF
674,50,81,LF
675,50,80,F
676,50,79,F
677,50,78,LF
678,51,78,RF
679,51,77,RF
680,50,77,LF
681,50,76,LF
682,51,76,RF
683,51,75,LF
684,52,75,LF
685,52,76,RF
686,53,76,RF
687,53,75,F
688,53,74,F
689,53,73,LF
690,54,73,F
691,55,73,LF
692,55,74,RF
693,56,74,F
694,57,74,LF
695,57,75,LF
696,56,75,RF
697,56,76,RF
698,57,76,LF
699,57,77,LF
700,56,77,F
701,55,77,RF
702,55,78,F
703,55,79,RF
704,56,79,F
705,57,79,RF
706,57,78,LF
707,58,78,RF
708,58,77,LF
709,59,77,F
710,60,77,LF
711,60,78,F
712,60,79,RF
713,61,79,F
714,62,79,LF
715,62,80,LF
716,61,80,RF
717,61,81,F
718,61,82,RF
719,62,82,RF
720,62,81,LF
721,63,81,F
722,64,81,LF
723,64,82,LF
724,63,82,RF
725,63,83,LF
726,62,83,RF
727,62,84,RF
728,63,84,LF
729,63,85,F
730,63,86,RF
731,64,86,LF
732,64,87,F
733,64,88,LF
734,63,88,LF
735,63,87,RF
736,62,87,F
737,61,87,RF
738,61,88,LF
739,60,88,RF
740,60,89,LF
741,59,89,RF
742,59,90,F
743,59,91,LF
744,58,91,RF
745,58,92,F
746,58,93,LF
747,57,93,F
748,56,93,LF
749,56,92,F
750,56,91,F
751,56,90,LF
752,57,90,F
753,58,90,RF
754,58,89,RF
755,57,89,F
756,56,89,F
757,55,89,F
758,54,89,LF
759,54,88,RF
760,53,88,RF
761,53,89,F
762,53,90,LF
763,52,90,RF
764,52,91,RF
765,53,91,LF
766,53,92,RF
767,54,92,LF
768,54,93,F
769,54,94,LF
770,53,94,RF
771,53,95,RF
772,54,95,F
773,55,95,F
774,56,95,RF
775,56,94,LF
776,57,94,F
777,58,94,F
778,59,94,F
779,60,94,F
780,61,94,LF
781,61,95,RF
782,62,95,RF
783,62,94,F
784,62,93,LF
785,63,93,LF
786,63,94,RF
787,64,94,LF
788,64,95,RF
789,65,95,F
790,66,95,F
791,67,95,F
792,68,95,F
793,69,95,RF
794,69,94,F
795,69,93,F
796,69,92,RF
797,68,92,F
798,67,92,F
799,66,92,F
800,65,92,F
801,64,92,LF
802,64,91,LF
803,65,91,F
804,66,91,RF
805,66,90,LF
806,67,90,F
807,68,90,LF
808,68,91,RF
809,69,91,RF
810,69,90,F
811,69,89,LF
812,70,89,RF
813,70,88,RF
814,69,88,F
815,68,88,LF
816,68,87,LF
817,69,87,F
818,70,87,F
819,71,87,LF
820,71,88,RF
821,72,88,RF
822,72,87,F
823,72,86,LF
824,73,86,LF
825,73,87,RF
826,74,87,F
827,75,87,F
828,76,87,F
829,77,87,LF
830,77,88,F
831,77,89,RF
832,78,89,F
833,79,89,LF
834,79,90,RF
835,80,90,LF
836,80,91,F
837,80,92,F
838,80,93,LF
839,79,93,LF
840,79,92,RF
841,78,92,F
842,77,92,RF
843,77,93,LF
844,76,93,LF
845,76,92,F
846,76,91,LF
847,77,91,F
848,78,91,RF
849,78,90,RF
850,77,90,F
851,76,90,F
852,75,90,F
853,74,90,LF
854,74,89,RF
855,73,89,RF
856,73,90,F
857,73,91,F
858,73,92,F
859,73,93,RF
860,74,93,LF
861,74,94,F
862,74,95,LF
863,73,95,RF
864,73,96,F
865,73,97,RF
866,74,97,F
867,75,97,F
868,76,97,F
869,77,97,RF
870,77,96,F
871,77,95,RF
872,76,95,LF
873,76,94,LF
874,77,94,F
875,78,94,F
876,79,94,F
877,80,94,F
878,81,94,LF
879,81,95,LF
880,80,95,RF
881,80,96,LF
882,79,96,LF
883,79,95,RF
884,78,95,RF
885,78,96,F
886,78,97,RF
887,79,97,F
888,80,97,LF
889,80,98,LF
890,79,98,RF
891,79,99,RF
892,80,99,F
893,81,99,RF
894,81,98,F
895,81,97,F
896,81,96,LF
897,82,96,F
898,83,96,RF
899,83,95,F
900,83,94,LF
901,84,94,LF
902,84,95,F
903,84,96,RF
904,85,96,F
905,86,96,RF
906,86,95,F
907,86,94,LF
908,87,94,F
909,88,94,LF
910,88,95,LF
911,87,95,RF
912,87,96,RF
913,88,96,F
914,89,96,LF
915,89,97,LF
916,88,97,F
917,87,97,F
918,86,97,F
919,85,97,RF
920,85,98,LF
921,84,98,F
922,83,98,RF
923,83,99,RF
924,84,99,F
925,85,99,F
926,86,99,RF
927,86,98,LF
928,87,98,F
929,88,98,LF
930,88,99,RF
931,89,99,F
932,90,99,RF
933,90,98,F
934,90,97,LF
935,91,97,RF
936,91,96,RF
937,90,96,LF
938,90,95,RF
939,89,95,LF
940,89,94,F
941,89,93,F
942,89,92,LF
943,90,92,LF
944,90,93,F
945,90,94,RF
946,91,94,RF
947,91,93,LF
948,92,93,LF
949,92,94,RF
950,93,94,F
951,94,94,LF
952,94,95,RF
953,95,95,LF
954,95,96,LF
955,94,96,F
956,93,96,F
957,92,96,RF
958,92,97,RF
959,93,97,F
960,94,97,LF
961,94,98,LF
962,93,98,RF
963,93,99,RF
964,94,99,F
965,95,99,F
966,96,99,F
967,97,99,RF
968,97,98,RF
969,96,98,F
970,95,98,LF
971,95,97,LF
972,96,97,F
973,97,97,RF
974,97,96,LF
975,98,96,LF
976,98,97,F
977,98,98,F
978,98,99,RF
